ENSCAFT00000000727	474833	cfa00970=Aminoacyl-tRNA biosynthesis
ENSCAFT00000000728	474449	N
ENSCAFT00000000730	U	N
ENSCAFT00000000731	474450	N
ENSCAFT00000000735	474451	N
ENSCAFT00000000736	475042	cfa04142=Lysosome
ENSCAFT00000000738	U	N
ENSCAFT00000000739	475043	N
ENSCAFT00000000740	481165	cfa00380=Tryptophan metabolism.cfa01100=Metabolic pathways
ENSCAFT00000000741	U	N
ENSCAFT00000000745	481463	cfa03018=RNA degradation
ENSCAFT00000000746	U	N
ENSCAFT00000000747	U	N
ENSCAFT00000000748	U	N
ENSCAFT00000000750	607062	N
ENSCAFT00000000751	481978	cfa03008=Ribosome biogenesis in eukaryotes.cfa03013=RNA transport
ENSCAFT00000000752	U	N
ENSCAFT00000000753	U	N
ENSCAFT00000000755	U	N
ENSCAFT00000000758	481168	N
ENSCAFT00000000759	606846	N
ENSCAFT00000000760	U	N
ENSCAFT00000000761	474834	N
ENSCAFT00000000762	U	N
ENSCAFT00000000764	474835	N
ENSCAFT00000000766	481170	N
ENSCAFT00000000768	481709	N
ENSCAFT00000000770	475045	cfa04010=MAPK signaling pathway
ENSCAFT00000000771	U	N
ENSCAFT00000000774	481979	N
ENSCAFT00000000778	481980	N
ENSCAFT00000000779	474836	cfa04144=Endocytosis.cfa04145=Phagosome.cfa04514=Cell adhesion molecules (CAMs).cfa04612=Antigen processing and presentation.cfa04940=Type I diabetes mellitus.cfa05166=HTLV-I infection.cfa05168=Herpes simplex infection.cfa05320=Autoimmune thyroid disease.cfa05330=Allograft rejection.cfa05332=Graft-versus-host disease.cfa05416=Viral myocarditis
ENSCAFT00000000781	U	N
ENSCAFT00000000784	481470.481472	N
ENSCAFT00000000788	474838.541592	cfa04144=Endocytosis.cfa04145=Phagosome.cfa04514=Cell adhesion molecules (CAMs).cfa04612=Antigen processing and presentation.cfa04940=Type I diabetes mellitus.cfa05166=HTLV-I infection.cfa05168=Herpes simplex infection.cfa05320=Autoimmune thyroid disease.cfa05330=Allograft rejection.cfa05332=Graft-versus-host disease.cfa05416=Viral myocarditis
ENSCAFT00000000789	481471	N
ENSCAFT00000000791	474836	cfa04144=Endocytosis.cfa04145=Phagosome.cfa04514=Cell adhesion molecules (CAMs).cfa04612=Antigen processing and presentation.cfa04940=Type I diabetes mellitus.cfa05166=HTLV-I infection.cfa05168=Herpes simplex infection.cfa05320=Autoimmune thyroid disease.cfa05330=Allograft rejection.cfa05332=Graft-versus-host disease.cfa05416=Viral myocarditis
ENSCAFT00000000793	607150	N
ENSCAFT00000000795	U	N
ENSCAFT00000000797	474839	cfa03013=RNA transport.cfa03015=mRNA surveillance pathway.cfa03040=Spliceosome.cfa05164=Influenza A
ENSCAFT00000000798	474840	cfa00190=Oxidative phosphorylation.cfa01100=Metabolic pathways.cfa04145=Phagosome.cfa04721=Synaptic vesicle cycle.cfa04966=Collecting duct acid secretion.cfa05323=Rheumatoid arthritis
ENSCAFT00000000800	608560	N
ENSCAFT00000000801	481711	N
